"link","provider","rating"
"https://www.classcentral.com/course/swayam-matrix-analysis-with-applications-14191","Indian Institute of Technology Roorkee","Matrix Analysis with Applications from Indian Institute of Technology Roorkee"
"https://www.classcentral.com/course/swayam-mathematical-modelling-analysis-and-applications-19946","Indian Institute of Technology Roorkee","Mathematical Modelling: Analysis and Applications from Indian Institute of Technology Roorkee"
"https://www.classcentral.com/course/swayam-essential-mathematics-for-machine-learning-19861","Indian Institute of Technology Roorkee","Essential Mathematics for Machine Learning from Indian Institute of Technology Roorkee"
"https://www.classcentral.com/course/swayam-operations-research-14219","Indian Institute of Technology Roorkee","Operations Research from Indian Institute of Technology Roorkee"
"https://www.classcentral.com/course/swayam-mathematical-finance-14188","Indian Institute of Technology Guwahati","Mathematical Finance from Indian Institute of Technology Guwahati"
"https://www.classcentral.com/course/swayam-integral-transforms-and-their-applications-14129","Indian Institute of Technology Delhi","Integral Transforms And Their Applications from Indian Institute of Technology Delhi"
"https://www.classcentral.com/course/swayam-introduction-to-methods-of-applied-mathematics-14158","Indian Institute of Technology Delhi","Introduction to Methods of Applied Mathematics from Indian Institute of Technology Delhi"
"https://www.classcentral.com/course/swayam-introduction-to-fuzzy-set-theory-arithmetic-and-logic-14149","Indian Institute of Technology Delhi","Introduction to Fuzzy Set Theory, Arithmetic and Logic from Indian Institute of Technology Delhi"
"https://www.classcentral.com/course/swayam-non-parametric-statistical-inference-19957","Indian Institute of Technology Delhi","Non-parametric Statistical Inference from Indian Institute of Technology Delhi"
"https://www.classcentral.com/course/swayam-information-theory-19896","Indian Institute of Technology Bangalore","Information Theory from Indian Institute of Technology Bangalore"
"https://www.classcentral.com/course/swayam-measure-theory-17689","Indian Institute of Technology Bangalore","Measure Theory from Indian Institute of Technology Bangalore"
"https://www.classcentral.com/course/swayam-linear-algebra-7928","Indian Institute of Science Bangalore","Linear Algebra from Indian Institute of Science Bangalore"
"https://www.classcentral.com/course/swayam-discrete-mathematics-5217","Chennai Mathematical Institute","Discrete Mathematics from Chennai Mathematical Institute"
"https://www.classcentral.com/course/swayam-computational-commutative-algebra-19824","Chennai Mathematical Institute","Computational Commutative Algebra from Chennai Mathematical Institute"
"https://www.classcentral.com/course/swayam-introduction-to-abstract-group-theory-14141","Chennai Mathematical Institute","Introduction to Abstract Group Theory from Chennai Mathematical Institute"
"https://www.classcentral.com/course/swayam-groups-motion-symmetry-and-puzzles-19887","Indian Institute of Science Education and Research, Mohali","Groups: Motion, symmetry and puzzles from Indian Institute of Science Education and Research, Mohali"
"https://www.classcentral.com/course/swayam-regression-analysis-14269","Indian Institute of Science Education and Research, Pune","Regression analysis from Indian Institute of Science Education and Research, Pune"
"https://www.classcentral.com/course/swayam-real-analysis-i-19987","NPTEL","Real Analysis I from NPTEL"
"https://www.classcentral.com/course/swayam-laplace-transform-19925","NPTEL","Laplace Transform from NPTEL"
"https://www.classcentral.com/course/swayam-algebra-i-19793","NPTEL","Algebra – I from NPTEL"
"https://www.classcentral.com/course/swayam-applied-multivariate-analysis-13898","University of Calcutta","Applied Multivariate Analysis from University of Calcutta"
"https://www.classcentral.com/course/swayam-modern-algebra-14201","Madurai Kamaraj University, Madurai, Tamil Nadu","Modern Algebra from Madurai Kamaraj University, Madurai, Tamil Nadu"
"https://www.classcentral.com/course/swayam-differential-calculus-14003","CEC","Differential Calculus from CEC"
"https://www.classcentral.com/course/swayam-numerical-analysis-17709","CEC","Numerical Analysis from CEC"
"https://www.classcentral.com/course/swayam-partial-differential-equations-17721","CEC","Partial Differential Equations from CEC"
